lambda,sigma,return
1.0,0.014088812940337633,0.002365931141788545
0.9994997498749374,0.014089028629014984,0.0023914392664453796
0.9989994997498749,0.014089763755164053,0.002418454424738141
0.9984992496248123,0.014091040310856366,0.0024468933997688247
0.9979989994997498,0.014092873984581684,0.0024762303546484177
0.9974987493746873,0.014095282969217275,0.0025062893388875605
0.9969984992496247,0.01409824589176082,0.0025365623492152236
0.9964982491245622,0.014101583692743929,0.0025654921506922945
0.9959979989994997,0.014105127469113798,0.002592107269834756
0.9954977488744371,0.014109050076881699,0.002618038167266872
0.9949974987493746,0.014113415828914138,0.002643853807541389
0.9944972486243121,0.014118212424416113,0.0026695133769059306
0.9939969984992496,0.014123418491741702,0.0026949445325242525
0.993496748374187,0.014128881002994382,0.0027194964493268275
0.9929964982491245,0.014134514044317419,0.0027429414437255364
0.992496248124062,0.014140216749700164,0.0027650539390602228
0.9919959979989994,0.014146004093083302,0.0027860275513859035
0.9914957478739369,0.014152081197080148,0.0028066934542053186
0.9909954977488744,0.014158521972140936,0.0028273361856876794
0.9904952476238118,0.014165342831786568,0.0028480127141179735
0.9899949974987493,0.014172533712765984,0.002868694115833127
0.9894947473736868,0.014180003977219262,0.002889139209488982
0.9889944972486242,0.014187563702255325,0.002908879032221324
0.9884942471235617,0.014195247048589923,0.002928046469919147
0.9879939969984992,0.014203209023727252,0.0029470590202040343
0.9874937468734366,0.014211497338577,0.002966043539768949
0.9869934967483741,0.014220118343962501,0.002985017849713071
0.9864932466233116,0.014229072264097952,0.0030039831714676057
0.985992996498249,0.014238361486996563,0.0030229450202649416
0.9854927463731865,0.014247989616035435,0.003041911142684785
0.984992496248124,0.014257959179813148,0.003060886392016601
0.9844922461230614,0.014268274630356001,0.0030798791029245753
0.9839919959979989,0.014278943201241675,0.003098900847052718
0.9834917458729364,0.014290013394511013,0.0031180285199473466
0.9829914957478738,0.014301488230270129,0.0031372701072063603
0.9824912456228113,0.01431344089058363,0.003156736194224961
0.9819909954977488,0.014325842293378634,0.0031763737163741437
0.9814907453726863,0.014338649707447595,0.003196111484142313
0.9809904952476237,0.014351878377591488,0.003215963561920069
0.9804902451225612,0.01436540936740833,0.0032357523659482784
0.9799899949974987,0.014378791946265419,0.003254845851871241
0.9794897448724361,0.014391558046141036,0.00327262631438645
0.9789894947473736,0.014403999401552401,0.003289540342511754
0.9784892446223111,0.014416445665717531,0.003306066457645361
0.9779889944972485,0.014428984194483706,0.003322339060977274
0.977488744372186,0.01444164307738449,0.0033384041639194346
0.9769884942471235,0.014454468385925937,0.0033543261479735387
0.9764882441220609,0.014467509386913048,0.0033701704441379075
