lambda,obj,sigma,return
0.0,-0.008956639999999998,0.050609654490594805,0.008956639999999998
0.02040816326530612,-0.0087215792422927,0.050609654490594805,0.008956639999999998
0.04081632653061224,-0.008486518484585412,0.050609654490594805,0.008956639999999998
0.061224489795918366,-0.008251457726878119,0.050609654490594805,0.008956639999999998
0.08163265306122448,-0.008016396969170819,0.050609654490594805,0.008956639999999998
0.1020408163265306,-0.007781336211463533,0.050609654490594805,0.008956639999999998
0.12244897959183673,-0.007546275453756236,0.050609654490594805,0.008956639999999998
0.14285714285714285,-0.007315564144071198,0.04790185238904206,0.00891725607846666
0.16326530612244897,-0.0070883430570976005,0.046589771841262666,0.00889496742730609
0.18367346938775508,-0.0068635984869196255,0.045690926075108045,0.00887763180973676
0.2040816326530612,-0.006640835345259539,0.04461187399385575,0.00885392628026036
0.22448979591836732,-0.006420758378340624,0.043378389232250555,0.008824097150392672
0.24489795918367346,-0.006203550768471118,0.04247337296884148,0.008800590178142933
0.26530612244897955,-0.005987985562891375,0.041760723133287485,0.008780076292713154
0.2857142857142857,-0.0057738856348423274,0.0412023383306552,0.00876249296234477
0.3061224489795918,-0.005560413682877871,0.0412023383306552,0.00876249296234477
0.32653061224489793,-0.0053489826531883085,0.04040359796799178,0.00873392005049615
0.3469387755102041,-0.005137424065856571,0.04040359796799178,0.00873392005049615
0.36734693877551017,-0.004926649920292222,0.03985183727470282,0.00870944796481832
0.3877551020408163,-0.004716494473374104,0.03985183727470282,0.00870944796481832
0.4081632653061224,-0.0045080999446385096,0.03943306093451373,0.008689524937261675
0.42857142857142855,-0.004299769830323556,0.03860969611783772,0.008642628678800052
0.44897959183673464,-0.004094647938191249,0.0374208699770945,0.008572030451404021
0.4693877551020408,-0.0038925955342065926,0.036391392933520145,0.0085075712003033
0.4897959183673469,-0.003693221231556857,0.03545898349348257,0.008445759543826864
0.5102040816326531,-0.0034963313151100844,0.034683332809389594,0.008391398908731923
0.5306122448979591,-0.003301722401247553,0.033892434484453456,0.008332631419934226
0.5510204081632653,-0.003109119402091866,0.03330491830431495,0.008286169338656498
0.5714285714285714,-0.0029173768118487325,0.03330491830431495,0.008286169338656498
0.5918367346938775,-0.0027280838285729924,0.032246287394060845,0.008191548803519364
0.6122448979591836,-0.002540602820880357,0.0319647995959181,0.008165367927334403
0.6326530612244897,-0.0023536951736232324,0.03163005634184143,0.008130296549853795
0.6530612244897959,-0.0021683629169179063,0.03117686938060897,0.008079628989940886
0.673469387755102,-0.00198499935380232,0.030457556059244224,0.007992364883292486
0.6938775510204082,-0.0018043095125750816,0.029660860190219525,0.007888215429452432
0.7142857142857142,-0.0016282128113664137,0.028252415009770566,0.007694242224493218
0.7346938775510203,-0.00145752492472488,0.026985407429753167,0.007510335463147003
0.7551020408163265,-0.0012918074910927026,0.025857127320163112,0.007336369607819504
0.7755102040816326,-0.0011310732717246378,0.02464352069123407,0.00713637350661454
0.7959183673469387,-0.0009750832029194604,0.023502661096066222,0.006932170500831876
0.8163265306122448,-0.0008252768411621296,0.022515685393618357,0.006746312085191145
0.836734693877551,-0.0006797003637606889,0.021582264901666197,0.006550359789248392
0.8571428571428571,-0.0005406919985893291,0.020264577785185884,0.006248762666996398
0.8775510204081632,-0.0004095435981031744,0.018826793956931258,0.005884817941169251
0.8979591836734693,-0.00028571189340835876,0.017459108607371397,0.005482396721005023
0.9183673469387754,-0.00017124508557137818,0.0162756741596057,0.0050778499534330146
0.9387755102040816,-6.964279168369416e-05,0.014561829412447049,0.004388884360337521
0.9591836734693877,1.8276715726960963e-05,0.01327063758458946,0.0036908012793751355
0.9795918367346939,8.519331646946144e-05,0.012176109206619785,0.002941893992749878
1.0,0.00013303741979531797,0.01153418483445267,0.0017455487321945491
