lambda,sigma,return
1.0,0.011018913397709402,0.0019362258030593059
0.9994997498749374,0.011018997365011952,0.0019577942610093406
0.9989994997498749,0.011019748416052712,0.001979050512219103
0.9984992496248123,0.011020989725710835,0.0020007013829085245
0.9979989994997498,0.011022790991982409,0.0020231193236659936
0.9974987493746873,0.011025116515097563,0.0020459414114987746
0.9969984992496247,0.01102807720808632,0.002069608030086716
0.9964982491245622,0.011031472048461725,0.002092604332247996
0.9959979989994997,0.011035122710502849,0.002114022247606484
0.9954977488744371,0.011039112196494628,0.0021346454100405906
0.9949974987493746,0.011043432563425703,0.002154631884386361
0.9944972486243121,0.011047919892527082,0.0021734058422054614
0.9939969984992496,0.011052878130654477,0.002192321855653423
0.993496748374187,0.01105839179082859,0.0022116402522968205
0.9929964982491245,0.011064793423795946,0.0022324261444640597
0.992496248124062,0.011071945877111945,0.002254055461607719
0.9919959979989994,0.011079627556034592,0.0022758015078561183
0.9914957478739369,0.011087881057793661,0.0022977594686476787
0.9909954977488744,0.011096683293722865,0.002319855104792885
0.9904952476238118,0.011106033824512203,0.0023420726930058903
0.9899949974987493,0.01111587487018655,0.0023642781259573913
0.9894947473736868,0.011126260733165697,0.002386541297372439
0.9889944972486242,0.011137154662777461,0.002408855492363881
0.9884942471235617,0.011148591728375734,0.002431275863585404
0.9879939969984992,0.011160519674969924,0.0024536464693622273
0.9874937468734366,0.011172953391931353,0.002476026670947244
0.9869934967483741,0.011185804389289138,0.00249826816807615
0.9864932466233116,0.011198538669183277,0.0025194976039317938
0.985992996498249,0.01121149795880568,0.0025403216471073247
0.9854927463731865,0.011224857388575708,0.0025610105304449994
0.984992496248124,0.01123888092971848,0.002582060833540769
0.9844922461230614,0.011253367960792945,0.002603099238505656
0.9839919959979989,0.011268324050191127,0.0026241356173921883
0.9834917458729364,0.011283751953457702,0.0026451873737198157
0.9829914957478738,0.011299673630748044,0.002666287647488731
0.9824912456228113,0.011316110286734637,0.0026874514990359575
0.9819909954977488,0.011333331047400601,0.00270905474565998
0.9814907453726863,0.011350817120883384,0.002730383022015466
0.9809904952476237,0.011369163358375591,0.0027521520982449633
0.9804902451225612,0.01138826032950853,0.0027742917162622894
0.9799899949974987,0.011407943720521707,0.002796554723814154
0.9794897448724361,0.01142815583870195,0.0028188772008262853
0.9789894947473736,0.01144912963400645,0.0028415051294347475
0.9784892446223111,0.011471182769395035,0.0028647741485825955
0.9779889944972485,0.01149419494559321,0.00288853298688732
0.977488744372186,0.011517819279506989,0.0029124146963786196
0.9769884942471235,0.011541948222779779,0.0029363056028838892
0.9764882441220609,0.011566582876873966,0.002960208235004574
0.9759879939969984,0.011591666606562674,0.002984073832265949
0.9754877438719359,0.011616919709998811,0.0030076472772476706
0.9749874937468733,0.011642101306542908,0.0030307228682678548
0.9744872436218108,0.011667112256909314,0.003053225967996912
0.9739869934967483,0.011691465329768433,0.0030747493053232215
0.9734867433716857,0.011714978159856504,0.003095170573705665
0.9729864932466232,0.011738165940018603,0.0031149563556780386
0.9724862431215607,0.011761544240625714,0.003134561161314684
0.9719859929964981,0.01178529424634948,0.003154145237199202
0.9714857428714356,0.011809452583124944,0.0031737425733658307
0.9709854927463731,0.011834023107187248,0.0031933578955562246
0.9704852426213106,0.011859006469837124,0.0032129925453539916
0.969984992496248,0.011884402493247893,0.0032326474744201125
0.9694847423711855,0.011910206216818516,0.003252319970786203
0.968984492246123,0.011936408262573413,0.0032720041384797106
0.9684842421210604,0.011962997025885089,0.0032916926238145978
0.9679839919959979,0.011989953833767376,0.003311373283041447
0.9674837418709354,0.012017211034594823,0.003330999615382817
0.9669834917458728,0.012044301143848322,0.0033502453231048883
0.9664832416208103,0.012070136734898599,0.003368358618569026
0.9659829914957478,0.012094988119439319,0.003385548031277031
0.9654827413706852,0.012119788669009092,0.0034024749084696796
0.9649824912456227,0.01214479098025825,0.003419319455399435
0.9644822411205602,0.012169883492578653,0.0034360135768998685
0.9639819909954976,0.012194940098151917,0.0034524777807227965
0.9634817408704351,0.012220003580950663,0.00346874341821734
0.9629814907453726,0.01224521822550265,0.0034849067291851917
0.96248124062031,0.012270708949048047,0.0035010511203099302
0.9619809904952475,0.012296522486172912,0.0035172078359870644
0.961480740370185,0.012322694903115923,0.003533399364649949
0.9609804902451224,0.012349264793661358,0.0035496501471442253
0.96048024012006,0.012376338466551066,0.0035660236726005627
0.9599799899949975,0.012404025954851216,0.0035825861253666966
0.9594797398699348,0.012432484927829637,0.0035994291248598784
0.9589794897448723,0.012461643465289808,0.0036165071378984684
0.9584792396198099,0.012491316100230025,0.0036337079966057566
0.9579789894947474,0.012521317358290446,0.0036509232502042934
0.9574787393696848,0.012551626644275341,0.0036681418689566807
0.9569784892446223,0.012582261987247568,0.0036853760092505046
