lambda,sigma,return
1.0,0.025342800169123793,0.002784505832754132
0.9994997498749374,0.02534284262421658,0.002793967271081119
0.9989994997498749,0.025342987400876118,0.0028036026736587847
0.9984992496248123,0.02534323265046583,0.0028133681859629544
0.9979989994997498,0.025343585853783483,0.0028234024709208206
0.9974987493746873,0.02534405879235993,0.002833876584199073
0.9969984992496247,0.025344671690760205,0.0028449979027219156
0.9964982491245622,0.025345476740263877,0.0028573506197087607
0.9959979989994997,0.02534654883492428,0.002871690559525307
0.9954977488744371,0.025347864934813297,0.002887299955931129
0.9949974987493746,0.025349358122253165,0.002903152445392111
0.9944972486243121,0.02535101178254929,0.0029190301558542787
0.9939969984992496,0.025352825614766546,0.0029349245127947904
0.993496748374187,0.02535479999080597,0.0029508347805793428
0.9929964982491245,0.025356935305062764,0.0029667606318375846
0.992496248124062,0.025359232090794583,0.0029827028036840046
0.9919959979989994,0.02536169084427762,0.0029986616177758822
0.9914957478739369,0.025364311755153277,0.0030146354885008616
0.9909954977488744,0.025367095336925792,0.003030625037083107
0.9904952476238118,0.02537004212700595,0.003046630902752434
0.9899949974987493,0.025373152994325035,0.003062655315707552
0.9894947473736868,0.025376427480209508,0.0030786936091073977
0.9889944972486242,0.025379866323241698,0.0030947475601190736
0.9884942471235617,0.02538347062837324,0.003110820269582888
0.9879939969984992,0.02538723977647115,0.003126906999117476
0.9874937468734366,0.02539117432037975,0.0031430085691651396
0.9869934967483741,0.02539527703772298,0.0031591343837127596
0.9864932466233116,0.025399545197931396,0.003175271713839157
0.985992996498249,0.025403980043015164,0.0031914241015423717
0.9854927463731865,0.02540858160009089,0.0032075903482281635
0.984992496248124,0.02541335096205898,0.003223773020179817
0.9844922461230614,0.025418288875501155,0.0032399732355754274
0.9839919959979989,0.02542339470917631,0.0032561876200447627
0.9834917458729364,0.02542866904073617,0.003272416928578767
0.9829914957478738,0.02543411209123479,0.0032886607741082832
0.9824912456228113,0.025439724032975695,0.003304918680734038
0.9819909954977488,0.025445504980408287,0.003321190069611079
0.9814907453726863,0.02545145499189467,0.0033374742756208465
0.9809904952476237,0.025457574067308614,0.0033537705497076755
0.9804902451225612,0.025463862142103458,0.0033700780503915046
0.9799899949974987,0.025470319096877678,0.0033863958744893815
0.9794897448724361,0.02547694476547821,0.0034027230784468526
0.9789894947473736,0.025483738945662537,0.0034190587014044883
0.9784892446223111,0.02549070141732661,0.0034354018025694946
0.9779889944972485,0.025497830939393767,0.003451749075363837
0.977488744372186,0.025505132374067013,0.0034681116185560387
0.9769884942471235,0.025512600284155633,0.0034844762044290247
0.9764882441220609,0.025520235257597387,0.0035008439821816737
0.9759879939969984,0.025528037921671912,0.003517216076709518
0.9754877438719359,0.02553600836477119,0.003533592321353213
0.9749874937468733,0.025544146813762138,0.003549972816537449
0.9744872436218108,0.025552449879617682,0.0035663497339439077
0.9739869934967483,0.025560919398075692,0.00358272670380564
0.9734867433716857,0.025569564607900087,0.0035991231845891713
0.9729864932466232,0.025578380010601476,0.0036155265796258633
0.9724862431215607,0.025587366493488257,0.0036319381800857258
0.9719859929964981,0.025596524816921755,0.003648358970606917
0.9714857428714356,0.02560585575268547,0.0036647899393755165
0.9709854927463731,0.025615360042063353,0.0036812320025359016
0.9704852426213106,0.02562503816573681,0.003697685619065705
0.969984992496248,0.02563488680941039,0.0037141449639904343
0.9694847423711855,0.025644856365884344,0.003730529155415639
0.968984492246123,0.025654638769221614,0.0037463467358688617
0.9684842421210604,0.025663762995010827,0.0037608665876481618
0.9679839919959979,0.025672490937145697,0.0037745285270481327
0.9674837418709354,0.025681265163911806,0.0037880441681746365
0.9669834917458728,0.0256901777182603,0.0038015602771531293
0.9664832416208103,0.02569923694302581,0.0038150899060307194
0.9659829914957478,0.02570844286496394,0.0038286324087651548
