lambda,obj,sigma,return
0.0,-0.009376259999999999,0.04892615275273926,0.009376259999999997
0.02040816326530612,-0.009136055338302357,0.04892615275273926,0.009376259999999997
0.04081632653061224,-0.008895850676604715,0.04892615275273926,0.009376259999999997
0.061224489795918366,-0.008655646014907077,0.04892615275273926,0.009376259999999997
0.08163265306122448,-0.00841544135320944,0.04892615275273926,0.009376259999999997
0.1020408163265306,-0.008175236691511798,0.04892615275273926,0.009376259999999997
0.12244897959183673,-0.007935032029814158,0.04892615275273926,0.009376259999999997
0.14285714285714285,-0.00769482736811652,0.04892615275273926,0.009376259999999997
0.16326530612244897,-0.007454622706418881,0.04892615275273926,0.009376259999999997
0.18367346938775508,-0.007220337705318042,0.044516531098260155,0.009290801035744634
0.2040816326530612,-0.006993713238659288,0.041525326634364555,0.00922911477474902
0.22448979591836732,-0.006772696613909227,0.03922701460860172,0.009178644197570793
0.24489795918367346,-0.0065558858705906855,0.037433553933952736,0.009136585383255603
0.26530612244897955,-0.0063423104206810025,0.03601568781466437,0.009100997155758133
0.2857142857142857,-0.006131276987021139,0.034882129340491425,0.009070492960760306
0.3061224489795918,-0.005922277166361132,0.0339669668631342,0.009044055991762185
0.32653061224489793,-0.0057149296562635085,0.033221723965106364,0.009020923643888831
0.3469387755102041,-0.005508942872511374,0.03261018174232722,0.009000512748706458
0.36734693877551017,-0.005304090027380485,0.032104906437178816,0.008982369730766573
0.3877551020408163,-0.005099741154970146,0.032104906437178816,0.008982369730766573
0.4081632653061224,-0.004897105789809684,0.0313337579194706,0.008951526600268767
0.42857142857142855,-0.004694384749286728,0.0313337579194706,0.008951526600268767
0.44897959183673464,-0.004492925473193232,0.03078999042552207,0.008926291311679652
0.4693877551020408,-0.004291408844171123,0.03078999042552207,0.008926291311679652
0.4897959183673469,-0.004090848097292537,0.03040010337545272,0.008905261904522059
0.5102040816326531,-0.003890247521991309,0.03040010337545272,0.008905261904522059
0.5306122448979591,-0.0036906306618331546,0.029767763903836834,0.008864348538848842
0.5510204081632653,-0.0034925792114393226,0.029063505916323545,0.0088155882052967
0.5714285714285714,-0.0032962692015294955,0.02844752997815126,0.008770310752712574
0.5918367346938775,-0.0031015204830880873,0.027909097509463413,0.00872815588306528
0.6122448979591836,-0.002907498572744047,0.027909097509463413,0.00872815588306528
0.6326530612244897,-0.0027161025497195257,0.027028699071321074,0.008652005150799206
0.6530612244897959,-0.002524621820652438,0.027028699071321074,0.008652005150799206
0.673469387755102,-0.002334685114718865,0.0263465604686166,0.00858163948891237
0.6938775510204082,-0.0021458457064444545,0.026077111715160237,0.00855113168663643
0.7142857142857142,-0.001957877949663644,0.025844104654833326,0.008522367187347692
0.7346938775510203,-0.0017707092067519635,0.025643310896539886,0.008495200715797215
0.7551020408163265,-0.0015845766485413297,0.025026718931841028,0.00840155935139832
0.7755102040816326,-0.0014018744384494194,0.024372712812122693,0.008296814037933227
0.7959183673469387,-0.0012219126392673976,0.023798462351125357,0.008196202492494179
0.8163265306122448,-0.001044262212730229,0.023329357084838916,0.008104356055939793
0.836734693877551,-0.000868573148638484,0.022752500638351277,0.00797310149756386
0.8571428571428571,-0.0006972881970252584,0.02199980656849457,0.00778496631348387
0.8775510204081632,-0.0005325619616296723,0.02063639764047616,0.007401259190935913
0.8979591836734693,-0.0003793435358693317,0.019064799667583638,0.0069160726115322976
0.9183673469387754,-0.0002379835815150187,0.017283302590216865,0.006275815043340187
0.9387755102040816,-0.00011064504270468978,0.015852756409155233,0.005660620612619448
0.9591836734693877,-1.528907079937766e-06,0.013983410774435077,0.004632548980293264
0.9795918367346939,8.769644583645796e-05,0.012953858488323224,0.00375739174131773
1.0,0.00014811423245511614,0.012170219079996717,0.0021438171290063803
