lambda,obj,sigma,return
0.0,-0.007958409999999999,0.036361341127488254,0.007958409999999999
0.02040816326530612,-0.007769010874926745,0.036361341127488254,0.007958409999999999
0.04081632653061224,-0.007579611749853487,0.036361341127488254,0.007958409999999999
0.061224489795918366,-0.007390212624780231,0.036361341127488254,0.007958409999999999
0.08163265306122448,-0.007200813499706973,0.036361341127488254,0.007958409999999999
0.1020408163265306,-0.007011414374633717,0.036361341127488254,0.007958409999999999
0.12244897959183673,-0.00682201524956046,0.036361341127488254,0.007958409999999999
0.14285714285714285,-0.0066326161244872036,0.036361341127488254,0.007958409999999999
0.16326530612244897,-0.006443216999413947,0.036361341127488254,0.007958409999999999
0.18367346938775508,-0.006253817874340693,0.036361341127488254,0.007958409999999999
0.2040816326530612,-0.006064418749267434,0.036361341127488254,0.007958409999999999
0.22448979591836732,-0.005875019624194177,0.036361341127488254,0.007958409999999999
0.24489795918367346,-0.005685620499120921,0.036361341127488254,0.007958409999999999
0.26530612244897955,-0.005496221374047663,0.036361341127488254,0.007958409999999999
0.2857142857142857,-0.005306822248974408,0.036361341127488254,0.007958409999999999
0.3061224489795918,-0.005117423123901152,0.036361341127488254,0.007958409999999999
0.32653061224489793,-0.0049280239988278955,0.036361341127488254,0.007958409999999999
0.3469387755102041,-0.004738624873754641,0.036361341127488254,0.007958409999999999
0.36734693877551017,-0.0045492257486813795,0.036361341127488254,0.007958409999999999
0.3877551020408163,-0.004359826623608126,0.036361341127488254,0.007958409999999999
0.4081632653061224,-0.004170427498534869,0.036361341127488254,0.007958409999999999
0.42857142857142855,-0.003981028373461614,0.036361341127488254,0.007958409999999999
0.44897959183673464,-0.003791629248388357,0.036361341127488254,0.007958409999999999
0.4693877551020408,-0.0036022301233151004,0.036361341127488254,0.007958409999999999
0.4897959183673469,-0.0034148081437212754,0.0349538391595202,0.00786592399880372
0.5102040816326531,-0.003231378709716253,0.03410269788682649,0.007808850285629181
0.5306122448979591,-0.0030486425993808326,0.03334252063804329,0.007751665352809463
0.5510204081632653,-0.0028694060144639844,0.03269955522615505,0.0077032245151100465
0.5714285714285714,-0.0026912489285481835,0.03213046825046344,0.007656070153271146
0.5918367346938775,-0.0025146342322764663,0.03155878479331765,0.007604991370642201
0.6122448979591836,-0.0023406460305279747,0.030502037796383295,0.0075054149888331865
0.6326530612244897,-0.002170297533422593,0.029401330360570656,0.007396786898545605
0.6530612244897959,-0.002003343664138699,0.028422195081221693,0.007294948063900996
0.673469387755102,-0.0018395638898845105,0.027488876418038356,0.00719216846164407
0.6938775510204082,-0.0016784217050983769,0.02678672067581481,0.007109241953666713
0.7142857142857142,-0.0015211051545905598,0.02600774398526177,0.007014874909074257
0.7346938775510203,-0.0013653808818558425,0.02536444645290637,0.006928034491537004
0.7551020408163265,-0.0012120036474329446,0.024803268683493685,0.0068458881506233875
0.7755102040816326,-0.0010608155734078031,0.024253864899701678,0.00675758742497778
0.7959183673469387,-0.0009125921822521266,0.02345621819584428,0.006617458964034534
0.8163265306122448,-0.0007685015724479503,0.022538723268814398,0.006441815434830817
0.836734693877551,-0.0006297906807618532,0.021349325861199683,0.006193410707645757
0.8571428571428571,-0.0004970860222748887,0.020282794407595745,0.005947952649809003
0.8775510204081632,-0.00037008969071436075,0.019379366052671074,0.005713911245825123
0.8979591836734693,-0.000248476352685208,0.018409171499439856,0.005417367094917972
0.9183673469387754,-0.00013375238508113864,0.017730897181954197,0.005175294759610543
0.9387755102040816,-2.508069462791718e-05,0.016979026494952542,0.004830057236572581
0.9591836734693877,6.758090942477878e-05,0.015335829082636424,0.0038711775799110887
0.9795918367346939,0.00014400709641582615,0.014689666016390199,0.0033013940839327913
1.0,0.00020602417406411077,0.014353542213130207,0.0024050758107817993
